question,answer,category,keywords,official_link
Is checking Aadhaar PVC card order status free?,"Yes, checking the status of PVC card order online is free using your Aadhaar number and URN.",pvc_status_free,"Aadhaar, PVC card, status, free",https://uidai.gov.in/en/1024-faqs/aadhaar-online-services/order-aadhaar-pvc-card-online.html
Do I need to pay to verify my email or mobile linked to Aadhaar?,"No, verifying your email or mobile online is free. Only update requests incur the standard fee if done offline.",email_mobile_verify_free,"Aadhaar, email, mobile, verification, free",https://myaadhaar.uidai.gov.in/verify-email-mobile/en
Can I pre-pay for biometric update for multiple Aadhaar cards?,"No, biometric update fee of ₹50 is collected per Aadhaar card at the Seva Kendra during the update.",biometric_multi_fee,"Aadhaar, biometric, multiple, update, fee",https://uidai.gov.in/en/my-aadhaar/update-aadhaar.html
Is there a fee to update Aadhaar if my old mobile number is active but unreachable?,"Yes, if updating offline at Seva Kendra, the standard ₹50 fee applies. Carry Aadhaar and valid ID proof for verification.",mobile_update_unreachable,"Aadhaar, mobile, update, fee, unreachable",https://uidai.gov.in/en/my-aadhaar/update-aadhaar.html
How can I check fees for all Aadhaar-related services online?,UIDAI lists standard fees for updates and PVC cards online. All services like demographic or biometric updates at Seva Kendra cost ₹50 per request. PVC card ordering is ₹50 per card.,fee_check_online,"Aadhaar, fee, update, PVC card, online",https://uidai.gov.in/en/my-aadhaar/update-aadhaar.html
Can I update Aadhaar address for multiple family members in one visit?,"No, each individual Aadhaar requires a separate request and payment of ₹50 at Seva Kendra.",address_update_family,"Aadhaar, address, family, update, fee",https://uidai.gov.in/en/my-aadhaar/update-aadhaar.html
Do I need to pay extra if I want Aadhaar updates urgently?,"No, UIDAI does not offer fast-track or urgent update payment. Standard processing times apply regardless of payment.",update_urgent,"Aadhaar, urgent, update, fee",
I recently got married and my surname has changed. How do I update my Aadhaar name and also ensure my mobile number is updated along with it?,To update your Aadhaar after marriage: 1. Collect your marriage certificate as valid proof. 2. Visit the UIDAI SSUP portal or your nearest Aadhaar Seva Kendra. 3. Submit the update request for name and mobile number together. 4. Pay ₹50 per request if done offline. 5. You will receive an Update Request Number (URN) to track the status online.,name_mobile_update,"Aadhaar, name, update, mobile, marriage, fee",https://uidai.gov.in/en/my-aadhaar/update-aadhaar.html
"My Aadhaar is not linked to my bank account and I want to check the status. Can I do it online, and is there any fee?","Yes, you can check your Aadhaar-bank linking status online by visiting your bank portal. No fee is charged for this check. Ensure your Aadhaar details match exactly with your bank records to avoid linking issues.",bank_linking,"Aadhaar, bank, link, status, check",
I have two Aadhaar cards issued by mistake. How can I merge them or cancel the duplicate?,To resolve duplicate Aadhaar cards: 1. Identify which Aadhaar number you wish to keep. 2. Visit your nearest Aadhaar Seva Kendra. 3. Provide identity documents and the duplicate Aadhaar number for cancellation. 4. The officer will verify and merge or deactivate the duplicate. There is no fee for this service.,duplicate_aadhaar,"Aadhaar, duplicate, merge, cancel",https://uidai.gov.in/
"Can I update my Aadhaar address while living abroad, and what documents are needed?","Yes, you can update your address abroad. Required documents include valid proof of overseas residence, your Aadhaar card, and optionally passport. Submit the request at designated centers or UIDAI-approved channels. Standard ₹50 fee applies.",address_update_abroad,"Aadhaar, address, abroad, update, documents, fee",https://uidai.gov.in/en/my-aadhaar/update-aadhaar.html
I want to book an Aadhaar appointment for my elderly parents. How do I do it online and ensure they don’t face issues at the center?,"To book appointments: 1. Visit the UIDAI Check Aadhaar Status portal. 2. Enter their Aadhaar numbers and select the desired Seva Kendra and date. 3. Confirm the booking. 4. Advise them to carry Aadhaar, valid ID proof, and any required documents. Payment of ₹50 per update request is done at the center if needed.",appointment_booking,"Aadhaar, appointment, elderly, booking, fee",https://myaadhaar.uidai.gov.in/CheckAadhaarStatus/en
How can I update my mobile number in Aadhaar if I have lost my old number and cannot receive OTP?,If your old mobile is not linked: 1. Visit the nearest Aadhaar Seva Kendra. 2. Fill the mobile update form and submit your Aadhaar card. 3. Provide valid identity proof. 4. Pay ₹50 offline. 5. New mobile will be linked after verification.,mobile_update_offline,"Aadhaar, mobile, update, lost, offline, fee",https://ssup.uidai.gov.in/
I want to order Aadhaar PVC cards for my entire family in bulk. How is payment handled and what is the delivery time?,"You can order multiple PVC cards online: 1. Visit the PVC card ordering portal. 2. Enter Aadhaar numbers for each family member. 3. Pay ₹50 per card online via card, UPI, or net banking. 4. Cards are dispatched to the registered address and typically delivered in 15–20 days.",pvc_bulk_order,"Aadhaar, PVC card, family, bulk, payment, delivery",https://uidai.gov.in/en/1024-faqs/aadhaar-online-services/order-aadhaar-pvc-card-online.html
"Is locking and unlocking my Aadhaar virtual ID free, and how often can I do it?","Yes, locking or unlocking your Virtual ID is free. You can perform these actions as often as needed online using the UIDAI lock/unlock portal.",virtual_id_lock,"Aadhaar, virtual ID, lock, unlock, free",https://myaadhaar.uidai.gov.in/lock-unlock-aadhaar/en
How do I update my Aadhaar email address for multiple family members? Is there a separate fee per member?,"Yes, each email update is considered a separate request. 1. Visit the UIDAI email update portal or Seva Kendra. 2. Submit Aadhaar number for each member. 3. Pay ₹50 per offline request. Online verification may be free.",email_update,"Aadhaar, email, update, family, fee",https://myaadhaar.uidai.gov.in/verify-email-mobile/en
I want to check if my Aadhaar update for address has been processed. What is the step-by-step procedure?,1. Note your Update Request Number (URN) from the submission receipt. 2. Visit UIDAI Check Aadhaar Status portal. 3. Enter Aadhaar number and URN. 4. Submit to see current status. 5. You can also track status via the mAadhaar app.,update_status_check,"Aadhaar, update, address, status, URN",https://myaadhaar.uidai.gov.in/CheckAadhaarStatus
Can I merge two Aadhaar records if my biometrics were enrolled twice by mistake?,"Yes, visit your nearest Aadhaar Seva Kendra with both Aadhaar numbers. Provide identity proof and explain the duplication. Officers will merge or deactivate the duplicate record. There is no charge for this.",duplicate_aadhaar_biometric,"Aadhaar, duplicate, merge, biometrics",https://uidai.gov.in/
I live abroad and need to update my mobile number linked to Aadhaar. Can I do it online or do I need to visit India?,Mobile updates from abroad are not supported online if old number is not linked. You must visit an Aadhaar Seva Kendra in India with valid ID proof and Aadhaar card. Fee of ₹50 applies per request.,mobile_update_abroad,"Aadhaar, mobile, update, abroad, fee",https://uidai.gov.in/en/my-aadhaar/update-aadhaar.html
How can I pre-book multiple Aadhaar appointments for a group and ensure no conflicts in timing?,Appointments must be booked individually per Aadhaar number. Advise each member to choose different time slots online to avoid conflicts. Payment is made at the Seva Kendra for update services only.,appointment_group_booking,"Aadhaar, appointment, group, booking",https://myaadhaar.uidai.gov.in/CheckAadhaarStatus/en
What documents are required to update my Aadhaar date of birth and how do I submit them?,"To update DOB: 1. Collect valid documents like birth certificate, passport, or school certificate. 2. Visit Seva Kendra or use the UIDAI online portal if supported. 3. Submit Aadhaar number and documents. 4. Pay ₹50 per request if done offline. You will get URN to track status.",dob_update,"Aadhaar, date of birth, update, documents, fee",https://uidai.gov.in/en/my-aadhaar/update-aadhaar.html
Is there a fee to update my Aadhaar for multiple fields simultaneously at the Seva Kendra?,"Yes, fee of ₹50 applies per update request regardless of the number of fields updated together. Ensure you have all supporting documents.",multi_field_update_fee,"Aadhaar, update, multiple fields, fee",https://uidai.gov.in/en/my-aadhaar/update-aadhaar.html
I lost my Aadhaar PVC card and want a replacement. How do I order and pay online?,1. Visit the PVC card ordering portal. 2. Enter your Aadhaar number and select reprint. 3. Pay ₹50 per card online. 4. Card will be delivered to your registered address.,pvc_reprint,"Aadhaar, PVC card, reprint, lost, fee",https://uidai.gov.in/en/1024-faqs/aadhaar-online-services/order-aadhaar-pvc-card-online.html
Do I need to pay to verify if my Aadhaar is linked to a PAN or bank account?,"No, verification for linking with PAN or bank accounts is free. Use respective portals or official services to check linkage.",link_verification_free,"Aadhaar, verify, PAN, bank, free",
"How much does it cost to update Aadhaar if I have a new mobile, new address, and new email all at once?",Fee is ₹50 per update request at Seva Kendra. You can submit all changes together in one request. Carry Aadhaar and all supporting documents.,multi_update_fee,"Aadhaar, mobile, address, email, update, fee",https://uidai.gov.in/en/my-aadhaar/update-aadhaar.html
Can I perform Aadhaar biometric locking and unlocking for free using the mAadhaar app?,"Yes, you can lock or unlock your biometrics and Virtual ID for free using the mAadhaar app anytime.",biometric_lock_app,"Aadhaar, biometric, lock, unlock, free, app",https://play.google.com/store/apps/details?id=in.gov.uidai.mAadhaarPlus&hl=en-US
I want to update my Aadhaar details offline. How do I ensure my appointment and documents are correct to avoid multiple visits?,"1. Book an appointment online through UIDAI portal. 2. Prepare all required documents for requested updates (address, mobile, email, etc.). 3. Carry original Aadhaar and proof documents. 4. Pay ₹50 per update request at Seva Kendra. 5. Ensure URN is noted to track updates.",offline_update_preparation,"Aadhaar, offline, update, documents, appointment, fee",https://myaadhaar.uidai.gov.in/CheckAadhaarStatus/en
How can I pay the fee for updating my Aadhaar address and mobile at the same time?,You can pay ₹50 per update request at your nearest Aadhaar Seva Kendra. Submit all changes together to avoid multiple payments. Ensure you carry Aadhaar and valid supporting documents.,update_fee,"Aadhaar, update, address, mobile, fee",https://uidai.gov.in/en/my-aadhaar/update-aadhaar.html
Is there any cost for booking an Aadhaar appointment online?,"No, booking an appointment online is free. Fees apply only for update services at the Seva Kendra.",appointment_fee,"Aadhaar, appointment, booking, fee",https://myaadhaar.uidai.gov.in/CheckAadhaarStatus/en
I want to order an Aadhaar PVC card. How much does it cost and what are the steps?,1. Visit the Aadhaar PVC card portal. 2. Enter your Aadhaar number. 3. Pay ₹50 online per card. 4. Card will be delivered to your registered address within 15–20 days.,pvc_order,"Aadhaar, PVC card, order, fee, delivery",https://uidai.gov.in/en/1024-faqs/aadhaar-online-services/order-aadhaar-pvc-card-online.html
Can I update my Aadhaar mobile number if I don’t have the old number linked? What’s the fee?,You must visit an Aadhaar Seva Kendra to update the mobile offline. Fee is ₹50 per request. Carry your Aadhaar card and valid ID proof.,mobile_update_offline,"Aadhaar, mobile, update, offline, fee",https://ssup.uidai.gov.in/
How do I verify my updated email and mobile in Aadhaar? Is it free?,Use the UIDAI verification portal to verify your email or mobile. Verification is free of cost. Enter your Aadhaar number and the OTP received.,email_mobile_verification,"Aadhaar, email, mobile, verify, free",https://myaadhaar.uidai.gov.in/verify-email-mobile/en
I want to book Aadhaar appointments for my family together. Do I need to pay per person?,"Appointment booking is free for everyone. Fees apply only for the update services requested at the Seva Kendra, ₹50 per update request per person.",appointment_group_fee,"Aadhaar, appointment, family, fee",https://myaadhaar.uidai.gov.in/CheckAadhaarStatus/en
"How much does it cost to update my Aadhaar name, address, and mobile simultaneously?","A single update request at Seva Kendra costs ₹50, regardless of the number of fields updated together. Carry Aadhaar and all supporting documents.",multi_field_update_fee,"Aadhaar, update, name, address, mobile, fee",https://uidai.gov.in/en/my-aadhaar/update-aadhaar.html
Is locking and unlocking Aadhaar biometrics free and how often can I do it?,Locking or unlocking your Aadhaar biometrics or Virtual ID is free. You can do it as often as required via the UIDAI portal or mAadhaar app.,biometric_lock_unlock,"Aadhaar, biometrics, lock, unlock, free",https://myaadhaar.uidai.gov.in/lock-unlock-aadhaar/en
I want to update my date of birth in Aadhaar. What documents are required and what’s the fee?,"Required documents include birth certificate, passport, or school certificate. Visit Seva Kendra with Aadhaar and documents. Fee is ₹50 per request.",dob_update,"Aadhaar, date of birth, update, documents, fee",https://uidai.gov.in/en/my-aadhaar/update-aadhaar.html
Can I merge two Aadhaar numbers issued by mistake? Is there any cost?,"Yes, visit an Aadhaar Seva Kendra with both Aadhaar numbers and valid ID proof. The officer will merge or deactivate the duplicate. There is no fee.",duplicate_aadhaar_merge,"Aadhaar, duplicate, merge, free",https://uidai.gov.in/
I live abroad. Can I update my Aadhaar mobile number from overseas and what is the procedure?,"If the old mobile is not linked, you must visit an Aadhaar Seva Kendra in India with Aadhaar and ID proof. Fee is ₹50 per update.",mobile_update_abroad,"Aadhaar, mobile, update, abroad, fee",https://uidai.gov.in/en/my-aadhaar/update-aadhaar.html
How can I track the status of my Aadhaar address or mobile update?,1. Note the Update Request Number (URN) from submission. 2. Visit UIDAI Check Aadhaar Status portal. 3. Enter Aadhaar number and URN to see current status.,update_status_tracking,"Aadhaar, update, status, URN, track",https://myaadhaar.uidai.gov.in/CheckAadhaarStatus
I want to pre-book multiple Aadhaar appointments to avoid waiting. How do I do this effectively?,Book appointments individually for each Aadhaar number using UIDAI portal. Advise different time slots to prevent conflicts. Payment applies only for requested updates at the Seva Kendra.,appointment_booking_tips,"Aadhaar, appointment, pre-booking, tips, fee",https://myaadhaar.uidai.gov.in/CheckAadhaarStatus/en
How much does it cost to replace a lost Aadhaar PVC card and what are the steps?,1. Visit the PVC card portal. 2. Enter Aadhaar number and request reprint. 3. Pay ₹50 online per card. 4. Card will be delivered to the registered address.,pvc_replacement_fee,"Aadhaar, PVC card, reprint, lost, fee",https://uidai.gov.in/en/1024-faqs/aadhaar-online-services/order-aadhaar-pvc-card-online.html
Are there any fees to check if my Aadhaar is linked to PAN or bank account?,"No, checking linkage status is free. Use the respective bank or PAN portal to verify.",link_verification_free,"Aadhaar, verify, PAN, bank, free",
I want to update my Aadhaar email and mobile together. How much will it cost?,"Offline update at Seva Kendra costs ₹50 per request, irrespective of how many fields are updated together. Online verification of email/mobile is free.",email_mobile_update_fee,"Aadhaar, email, mobile, update, fee",https://myaadhaar.uidai.gov.in/verify-email-mobile/en
How do I ensure my Aadhaar documents are correct to avoid multiple visits for updates?,1. Verify the list of required documents for each field. 2. Carry original Aadhaar and supporting documents. 3. Book an appointment online. 4. Pay ₹50 at Seva Kendra per update request.,document_preparation,"Aadhaar, documents, preparation, fee, appointment",https://myaadhaar.uidai.gov.in/CheckAadhaarStatus/en
Is there a fee for updating Aadhaar for multiple family members at once?,"Yes, ₹50 applies per update request per person. You can submit all documents together but payment is per individual request.",family_update_fee,"Aadhaar, update, family, fee",https://uidai.gov.in/en/my-aadhaar/update-aadhaar.html
I want to order multiple PVC cards for my family. How is the fee calculated?,Each PVC card costs ₹50. Enter Aadhaar numbers for each member in the portal and pay separately or combined online.,pvc_bulk_fee,"Aadhaar, PVC card, family, bulk, fee",https://uidai.gov.in/en/1024-faqs/aadhaar-online-services/order-aadhaar-pvc-card-online.html
How can I lock or unlock my Aadhaar Virtual ID using the mAadhaar app and is it free?,Use the mAadhaar app to lock or unlock your Virtual ID anytime. This service is free of charge.,virtual_id_app,"Aadhaar, Virtual ID, lock, unlock, app, free",https://play.google.com/store/apps/details?id=in.gov.uidai.mAadhaarPlus&hl=en-US
"I want to update my address, mobile, and email offline. How do I prepare for the visit to Seva Kendra?",1. Book an appointment online. 2. Collect Aadhaar card and all supporting documents. 3. Ensure each update field has required proof. 4. Pay ₹50 per update request at the Seva Kendra.,offline_update_preparation,"Aadhaar, offline, update, documents, appointment, fee",https://myaadhaar.uidai.gov.in/CheckAadhaarStatus/en
Is there a cost to check the status of my Aadhaar PVC card delivery?,"No, checking the delivery status of your PVC card online is free. Use the PVC card portal with your Aadhaar number.",pvc_status_free,"Aadhaar, PVC card, delivery, status, free",https://uidai.gov.in/en/1024-faqs/aadhaar-online-services/order-aadhaar-pvc-card-online.html
Can I update my Aadhaar mobile and email simultaneously online without fee?,"Yes, you can update mobile and email online for free if your old mobile is linked. Otherwise, offline update requires ₹50 per request.",mobile_email_online_update,"Aadhaar, mobile, email, update, online, fee",https://myaadhaar.uidai.gov.in/verify-email-mobile/en
What is the fee to update my Aadhaar name due to marriage and how long will it take?,Fee is ₹50 per offline request at Seva Kendra. Online submission may not support name updates due to marriage. Processing usually takes 7–10 days.,name_update_marriage,"Aadhaar, name, update, marriage, fee, time",https://uidai.gov.in/en/my-aadhaar/update-aadhaar.html
How do I update my Aadhaar date of birth and mobile together? What documents and fees are required?,"1. Collect DOB proof (birth certificate, passport, school certificate). 2. Visit Seva Kendra. 3. Submit Aadhaar and documents. 4. Fee ₹50 per request for both updates. 5. Receive URN to track status.",dob_mobile_update,"Aadhaar, date of birth, mobile, update, documents, fee",https://uidai.gov.in/en/my-aadhaar/update-aadhaar.html
Can I pay online for updating multiple Aadhaar fields together? Which fields are included?,"Payment online is possible only for PVC card orders. Offline updates at Seva Kendra cover multiple fields with ₹50 per request. Fields include name, address, mobile, email, and date of birth.",multi_field_fee,"Aadhaar, multiple fields, update, fee, payment",https://uidai.gov.in/en/my-aadhaar/update-aadhaar.html
How do I pre-book Aadhaar appointments for a corporate group? Is there any fee per person?,"Appointments are free for everyone. Book each Aadhaar number individually using UIDAI portal. Fee applies only for the update services at the Seva Kendra, ₹50 per person per update request.",corporate_appointment_fee,"Aadhaar, appointment, corporate, fee",https://myaadhaar.uidai.gov.in/CheckAadhaarStatus/en
I need to merge two Aadhaar numbers due to accidental duplicate biometrics. Do I need to pay?,Merging duplicate Aadhaar records is free. Visit Seva Kendra with both Aadhaar numbers and valid ID proof for verification.,duplicate_aadhaar_free,"Aadhaar, duplicate, merge, free",https://uidai.gov.in/
How do I track Aadhaar PVC card delivery and is there a fee for tracking?,Tracking is free. Use the PVC card portal with your Aadhaar number to check delivery status.,pvc_tracking_free,"Aadhaar, PVC card, delivery, tracking, free",https://uidai.gov.in/en/1024-faqs/aadhaar-online-services/order-aadhaar-pvc-card-online.html
Can I update my Aadhaar email offline for multiple family members at once? Fee?,"Yes, submit requests for each family member at Seva Kendra. Fee is ₹50 per update request per person.",email_update_family_fee,"Aadhaar, email, update, family, fee",https://myaadhaar.uidai.gov.in/verify-email-mobile/en
How much does it cost to update my Aadhaar mobile number and address if done together?,"Fee is ₹50 per offline request at Seva Kendra, covering multiple fields updated together. Carry Aadhaar and all required documents.",mobile_address_fee,"Aadhaar, mobile, address, update, fee",https://uidai.gov.in/en/my-aadhaar/update-aadhaar.html
Can I lock and unlock Aadhaar Virtual ID multiple times in a day? Any fee?,"Yes, you can lock/unlock Virtual ID as many times as needed. This service is free of charge via UIDAI portal or mAadhaar app.",virtual_id_lock_free,"Aadhaar, Virtual ID, lock, unlock, free",https://myaadhaar.uidai.gov.in/lock-unlock-aadhaar/en
"How do I update my Aadhaar name, mobile, and email at once? What is the cost?",Visit Seva Kendra with Aadhaar and supporting documents. Submit update for all fields together. Fee is ₹50 per update request covering multiple fields.,multi_update_fee,"Aadhaar, name, mobile, email, update, fee",https://uidai.gov.in/en/my-aadhaar/update-aadhaar.html
I want to replace my lost Aadhaar PVC card for myself and my children. How much will it cost?,Each PVC card reprint costs ₹50. Order online via the PVC card portal entering Aadhaar numbers for each family member.,pvc_replacement_family,"Aadhaar, PVC card, reprint, lost, family, fee",https://uidai.gov.in/en/1024-faqs/aadhaar-online-services/order-aadhaar-pvc-card-online.html
Is checking if my Aadhaar is linked to a bank account free of cost?,"Yes, verifying Aadhaar-bank linking status is free. Use your bank's portal or branch services.",bank_linking_free,"Aadhaar, bank, link, free",
Can I update my Aadhaar mobile number online without fee if my old number is linked?,"Yes, if your old mobile is linked, you can update online for free. Otherwise, offline update costs ₹50 per request.",mobile_online_update,"Aadhaar, mobile, update, online, fee",https://ssup.uidai.gov.in/
How do I pre-book Aadhaar appointments to ensure no conflicts for my large family?,Book each member separately online using UIDAI portal. Advise different time slots to avoid conflicts. Fee applies only for requested updates at Seva Kendra.,appointment_prebook_tips,"Aadhaar, appointment, family, pre-booking, fee",https://myaadhaar.uidai.gov.in/CheckAadhaarStatus/en
"I want to update my Aadhaar address, date of birth, and mobile together. How much do I pay?",Fee is ₹50 per offline update request at Seva Kendra regardless of number of fields updated together. Carry Aadhaar and supporting documents.,multi_field_update_cost,"Aadhaar, address, DOB, mobile, update, fee",https://uidai.gov.in/en/my-aadhaar/update-aadhaar.html
Are there any charges for checking the status of my Aadhaar updates online?,"No, checking update status online using URN is free of cost.",update_status_free,"Aadhaar, update, status, URN, free",https://myaadhaar.uidai.gov.in/CheckAadhaarStatus
How much does it cost to update Aadhaar for multiple people in one visit?,"Each person’s update request costs ₹50, even if multiple people visit together. Bring Aadhaar cards and supporting documents for all.",multi_person_update_fee,"Aadhaar, multiple, update, fee",https://uidai.gov.in/en/my-aadhaar/update-aadhaar.html
I need to merge two Aadhaar numbers due to duplicate biometrics. Will I be charged?,"No, merging duplicate Aadhaar records is free at the Seva Kendra with valid ID proofs.",duplicate_merge_free,"Aadhaar, duplicate, merge, free",https://uidai.gov.in/
Can I check Aadhaar PVC card delivery status online without any fee?,"Yes, checking the delivery status of your PVC card online is free using the portal.",pvc_delivery_status,"Aadhaar, PVC card, delivery, status, free",https://uidai.gov.in/en/1024-faqs/aadhaar-online-services/order-aadhaar-pvc-card-online.html
Is it free to lock/unlock Aadhaar Virtual ID multiple times?,"Yes, locking or unlocking Virtual ID can be done multiple times without any charge.",virtual_id_free,"Aadhaar, Virtual ID, lock, unlock, free",https://myaadhaar.uidai.gov.in/lock-unlock-aadhaar/en
What is the procedure and fee for updating my Aadhaar photo along with address?,1. Visit your nearest Aadhaar Seva Kendra. 2. Carry Aadhaar and address proof documents. 3. Submit update request for photo and address together. 4. Pay ₹50 per update request. 5. You will receive a URN to track the status.,photo_address_update,"Aadhaar, photo, address, update, fee",https://uidai.gov.in/en/my-aadhaar/update-aadhaar.html
I lost my Aadhaar PVC card. Can I order a new one online and how much will it cost?,1. Go to the Aadhaar PVC card portal. 2. Enter your Aadhaar number and request reprint. 3. Pay ₹50 per card. 4. Card will be delivered to your registered address in 15–20 days.,pvc_reprint,"Aadhaar, PVC card, lost, reprint, fee",https://uidai.gov.in/en/1024-faqs/aadhaar-online-services/order-aadhaar-pvc-card-online.html
Can I update my mobile number offline if my old number is not linked? What are the steps?,1. Visit Aadhaar Seva Kendra with your Aadhaar and valid ID. 2. Submit mobile update request offline. 3. Fee is ₹50 per request. 4. You will receive a URN to track the update.,mobile_update_offline,"Aadhaar, mobile, offline, update, fee",https://ssup.uidai.gov.in/
How can I check if my Aadhaar is linked to my bank account or PAN?,You can verify linkage status directly through your bank or PAN portal. This check is free of cost and requires Aadhaar number and bank/PAN details.,link_check,"Aadhaar, bank, PAN, link, free",
What documents are needed to update my Aadhaar after marriage for surname change?,"Required documents include marriage certificate, Aadhaar card, and valid ID proof. Visit a Seva Kendra to submit the request. Fee is ₹50 per update request.",name_update_marriage,"Aadhaar, name, update, marriage, documents, fee",https://uidai.gov.in/en/my-aadhaar/update-aadhaar.html
"How much does it cost to update multiple fields in Aadhaar like address, mobile, and email together?",Fee is ₹50 per offline update request regardless of how many fields are updated together. Carry all required documents to Seva Kendra.,multi_field_update,"Aadhaar, update, address, mobile, email, fee",https://uidai.gov.in/en/my-aadhaar/update-aadhaar.html
Can I book Aadhaar appointments for several family members in one go? Any fee?,"Booking is free for appointments. Fees apply only for the updates requested at Seva Kendra, ₹50 per update per person.",appointment_family_fee,"Aadhaar, appointment, family, fee",https://myaadhaar.uidai.gov.in/CheckAadhaarStatus/en
I have two Aadhaar numbers. How can I merge or deactivate duplicates and is there a cost?,Visit an Aadhaar Seva Kendra with both Aadhaar numbers and valid ID proof. Duplicate Aadhaar will be merged or deactivated. There is no fee.,duplicate_aadhaar,"Aadhaar, duplicate, merge, deactivate, free",https://uidai.gov.in/
How do I track the status of my Aadhaar update requests online?,1. Note the Update Request Number (URN) from submission. 2. Visit UIDAI Check Aadhaar Status portal. 3. Enter Aadhaar number and URN to track status. Checking status is free.,update_status_tracking,"Aadhaar, update, URN, status, track",https://myaadhaar.uidai.gov.in/CheckAadhaarStatus
Is there a fee for locking and unlocking Aadhaar biometrics or Virtual ID?,"No, locking or unlocking Aadhaar biometrics or Virtual ID is free. You can do it anytime using UIDAI portal or mAadhaar app.",biometric_lock_unlock,"Aadhaar, biometrics, Virtual ID, lock, unlock, free",https://myaadhaar.uidai.gov.in/lock-unlock-aadhaar/en
How can I update my Aadhaar email and mobile simultaneously online?,"If your old mobile is linked, you can update both online for free. If not linked, visit Seva Kendra for offline update. Fee is ₹50 per request.",email_mobile_update,"Aadhaar, email, mobile, update, online, fee",https://myaadhaar.uidai.gov.in/verify-email-mobile/en
What is the cost to replace lost Aadhaar PVC card for myself and my children?,Each PVC card reprint costs ₹50. Order online for each family member separately using their Aadhaar numbers.,pvc_replacement_family,"Aadhaar, PVC card, lost, reprint, family, fee",https://uidai.gov.in/en/1024-faqs/aadhaar-online-services/order-aadhaar-pvc-card-online.html
How do I update my Aadhaar address from abroad and what is the fee?,You must visit an Aadhaar Seva Kendra in India with Aadhaar and address proof documents. Fee is ₹50 per offline update request.,address_update_abroad,"Aadhaar, address, update, abroad, fee",https://uidai.gov.in/en/my-aadhaar/update-aadhaar.html
Is checking if my Aadhaar is linked to PAN or bank account free?,"Yes, verifying Aadhaar linkage status with PAN or bank account is free. Use respective portals for verification.",link_check_free,"Aadhaar, bank, PAN, link, free",
How much does it cost to update multiple Aadhaar fields for multiple family members at the same visit?,Fee is ₹50 per update request per person. Submit requests for all family members together at Seva Kendra.,family_update_fee,"Aadhaar, update, family, multiple, fee",https://uidai.gov.in/en/my-aadhaar/update-aadhaar.html
"Can I update my Aadhaar mobile, email, and address together online?","If your old mobile is linked, you can update email and mobile online for free. Address update requires offline visit to Seva Kendra and ₹50 per request.",multi_field_online_update,"Aadhaar, mobile, email, address, update, online, fee",https://uidai.gov.in/en/my-aadhaar/update-aadhaar.html
How do I pre-book Aadhaar appointments for a large family without conflicts?,Book each member individually using UIDAI portal. Select different time slots to avoid overlaps. Fees apply only for requested updates at Seva Kendra.,appointment_prebook_family,"Aadhaar, appointment, pre-book, family, fee",https://myaadhaar.uidai.gov.in/CheckAadhaarStatus/en
"I want to update my Aadhaar photo, address, and mobile. What is the fee and process?","1. Book an appointment at Seva Kendra. 2. Carry Aadhaar card and documents (photo ID, address proof). 3. Submit update request for photo, address, and mobile together. 4. Fee is ₹50 per request. 5. Receive URN to track status.",photo_address_mobile_update,"Aadhaar, photo, address, mobile, update, fee",https://uidai.gov.in/en/my-aadhaar/update-aadhaar.html
Are there any charges to check Aadhaar update status online using URN?,"No, checking the status online using your URN is free of charge.",update_status_check_free,"Aadhaar, update, status, URN, free",https://myaadhaar.uidai.gov.in/CheckAadhaarStatus
Can I lock and unlock Aadhaar Virtual ID multiple times a day? Any fee?,"Yes, you can lock/unlock Virtual ID multiple times per day. This service is free using UIDAI portal or mAadhaar app.",virtual_id_multiple_free,"Aadhaar, Virtual ID, lock, unlock, free",https://myaadhaar.uidai.gov.in/lock-unlock-aadhaar/en
I want to merge two Aadhaar numbers issued by mistake. What is the procedure and cost?,Visit Aadhaar Seva Kendra with both Aadhaar numbers and valid ID proofs. The officer will merge or deactivate the duplicate. There is no fee.,aadhaar_merge,"Aadhaar, merge, duplicate, free",https://uidai.gov.in/
How do I check if my Aadhaar is linked to a bank account and avoid errors?,"Verify through your bank portal or branch. Ensure your name, date of birth, and Aadhaar number match exactly to prevent linking errors.",bank_link_check,"Aadhaar, bank, link, verify, free",
How much does it cost to update my Aadhaar name after marriage for multiple family members?,Fee is ₹50 per update request per person. Visit Seva Kendra with marriage certificates and Aadhaar cards for all members.,name_update_family_fee,"Aadhaar, name, update, marriage, family, fee",https://uidai.gov.in/en/my-aadhaar/update-aadhaar.html
I want to order Aadhaar PVC cards for my entire family. How do I pay?,Each PVC card costs ₹50. You can pay online per card or combined for multiple cards using Aadhaar numbers of each family member.,pvc_order_family,"Aadhaar, PVC card, family, order, fee",https://uidai.gov.in/en/1024-faqs/aadhaar-online-services/order-aadhaar-pvc-card-online.html
Can I update my Aadhaar mobile and email offline for multiple family members? Fee?,"Yes, submit update requests for each member at Seva Kendra. Fee is ₹50 per request per person.",mobile_email_family_fee,"Aadhaar, mobile, email, update, family, fee",https://myaadhaar.uidai.gov.in/verify-email-mobile/en
How much does it cost to update multiple Aadhaar fields together in one visit?,Fee is ₹50 per update request regardless of number of fields. Carry Aadhaar card and required documents.,multi_field_fee,"Aadhaar, update, multiple fields, fee",https://uidai.gov.in/en/my-aadhaar/update-aadhaar.html
